pc,word,operation,signedness,source_width,destination_width,retail_semantics
8009383C,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
80093844,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
80093858,00431023,SUBU v0 v0 v1,unsigned modulo,32,32,signed-byte height difference
8009385C,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
80093870,00431023,SUBU v0 v0 v1,unsigned modulo,32,32,height difference in jump delay slot
80093874,3C02FFFF,LUI v0 0xFFFF,unsigned bits,16,32,constant 0xFFFF0000
80093878,3C03800A,LUI v1 0x800A,unsigned bits,16,32,global address upper half
80093880,02021021,ADDU v0 s0 v0,unsigned modulo,32,32,local_x+0xFFFF0000 modulo 2^32
80093884,00430018,MULT v0 v1,signed,32x32,64,signed full product to HI/LO
80093888,00002812,MFLO a1,bitwise,LO32,32,retain product low 32
8009388C,3C03800A,LUI v1 0x800A,unsigned bits,16,32,global address upper half
80093894,00111023,SUBU v0 zero s1,unsigned modulo,32,32,0-local_z modulo 2^32
80093898,00430018,MULT v0 v1,signed,32x32,64,signed full product to HI/LO
8009389C,00001812,MFLO v1,bitwise,LO32,32,retain product low 32
800938A0,00A31021,ADDU v0 a1 v1,unsigned modulo,32,32,selection sum modulo 2^32
800938A4,04410011,BGEZ v0,signed,32,predicate,interpret wrapped sum as s32; zero is nonnegative
800938A8,2402FFF0,ADDIU v0 zero -16,exact constant,16,32,-16 in branch delay slot
800938B0,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
800938B8,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
800938C0,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
800938D4,00431023,SUBU v0 v0 v1,unsigned modulo,32,32,signed-byte height difference
800938D8,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
800938F0,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
800938F8,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
80093900,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
80093914,00431023,SUBU v0 v0 v1,unsigned modulo,32,32,signed-byte height difference
80093918,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
8009392C,00431023,SUBU v0 v0 v1,unsigned modulo,32,32,signed-byte height difference
80093930,3C011F80,LUI at 0x1F80,unsigned bits,16,32,scratchpad address
80093938,36440010,ORI a0 s2 0x10,unsigned bits,32,32,scratchpad edge1 address
8009393C,02402821,ADDU a1 s2 zero,bitwise address,32,32,scratchpad edge0 address
80093940,24B00020,ADDIU s0 a1 32,bitwise address,32,32,scratchpad cross address
80093948,02003021,ADDU a2 s0 zero,bitwise address,32,32,OuterProduct0 output in jal delay slot
8009394C,02002021,ADDU a0 s0 zero,bitwise address,32,32,VectorNormal input
80093954,02602821,ADDU a1 s3 zero,bitwise address,32,32,caller output in jal delay slot
8009396C,27BD0028,ADDIU sp sp 40,bitwise address,32,32,restore stack modulo 2^32
