source,classification,matching_mips_byte_verification
pc_port/src/world_map_upload_pump_74f2c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_upload_pump_75104.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_frame_tail_71984.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_ot_adapter.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_frame_driver_712d0.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_pause.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_main_loop_71034.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_terminal_default_71264.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_terminal_one_711b0.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_terminal_zero_710e4.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_teardown_7299c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode811_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode9_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode10_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode12_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode13_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode14_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode15_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode16_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode17_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode18_lifecycle.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_capture.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_gamestate_alias.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_selector.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/psyq_cd_mix.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/psyq_compat.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/archive_port.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/work_list_port.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/sound_transfer_callbacks.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_published_logo.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_font.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_kernel_menu.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_field.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_member_change_menu.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_main_menu.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_game_state.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_controller.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_heap.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/data_boot_globals.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_convergence.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_framebuffer_init.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_terrain_init.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_terrain_cell.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_plane_solver.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_terrain_normal.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_terrain_sampler.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_common_tail.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_scheduler.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_923a8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_925a0.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8a2c8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8b2bc.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8bb40.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8c530.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8d3f0.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8dd6c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8e190.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_906e0.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_91430.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_91b54.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_92234.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_92be4.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_92df8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_71a50.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_87710.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_87734.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7756c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_76a14.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_78948.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_77dc8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_78e2c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_794d8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_795e4.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7a144.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7a9b4.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7ad34.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7b200.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7b604.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7ba08.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7bb60.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7c36c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7c724.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7de14.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7e450.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7eca4.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7f8ac.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7fc8c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8032c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_80578.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_80900.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_80a28.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_81174.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_813e8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_817a0.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_819c8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_81c3c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_81fb4.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_827c8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_827ec.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_83214.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_834d0.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_838e8.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_83a00.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_84068.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_cold_defaults.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_mode_selector_73300.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/psyq_normal_light_col.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/psyq_spu_noise_clock.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7cc6c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7ce84.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7d078.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7d228.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7d414.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7d600.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_7d774.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
pc_port/src/world_map_callback_8a72c.c,RUNTIME_PORT_SOURCE,NOT_APPLICABLE_HOST_ADAPTER_REQUIRES_DIFFERENTIAL_OR_RUNTIME_PROOF
