file,function,asm_lines
src/menu/main/misc.c,func_801D17C4,90
src/menu/main/misc.c,func_801D5A50,90
src/menu/main/misc.c,func_801D3C4C,91
src/menu/main/misc.c,func_801D3B00,92
src/menu/main/misc.c,func_801C8EE8,93
src/menu/main/misc.c,func_801DE474,94
src/menu/main/misc.c,func_801C62A8,95
src/menu/main/misc.c,func_801D9B08,97
src/menu/main/misc.c,func_801C7F34,99
src/menu/main/misc.c,func_801C8D78,100
src/menu/main/misc.c,func_801D4D1C,100
src/menu/main/misc.c,func_801CA5F0,101
src/menu/main/misc.c,func_801C7BF4,102
src/menu/main/misc.c,func_801D397C,102
src/menu/main/misc.c,func_801C9BCC,103
src/menu/main/misc.c,func_801E6B70,103
src/menu/main/misc.c,func_801E71B4,103
src/menu/main/misc.c,func_801D1640,104
src/menu/main/misc.c,func_801CA480,105
src/menu/main/misc.c,func_801E3088,105
src/menu/main/misc.c,func_801D2D38,106
src/menu/main/misc.c,func_801D22F4,108
src/menu/main/misc.c,func_801D1914,109
src/menu/main/misc.c,func_801E5924,109
src/menu/main/misc.c,func_801E20C8,110
src/menu/main/misc.c,func_801CA8C0,111
src/menu/main/misc.c,func_801D6194,111
src/menu/main/misc.c,func_801DD5E8,111
src/menu/main/misc.c,func_801E0434,113
src/menu/main/misc.c,func_801E7E68,113
src/menu/main/misc.c,func_801D4F2C,116
src/menu/main/misc.c,func_801D9C84,116
src/menu/main/misc.c,func_801CA750,117
src/menu/main/misc.c,func_801E3A80,118
src/menu/main/misc.c,func_801C90B0,121
src/menu/main/misc.c,func_801E4754,122
src/menu/main/misc.c,func_801E8978,123
src/menu/main/misc.c,func_801D5CF8,124
src/menu/main/misc.c,func_801D55B4,126
src/menu/main/misc.c,func_801C8A10,127
src/menu/main/misc.c,func_801D51EC,127
src/menu/main/misc.c,func_801D53D0,127
src/menu/main/misc.c,func_801C9D34,128
src/menu/main/misc.c,func_801C7D78,130
src/menu/main/misc.c,func_801CE660,131
src/menu/main/misc.c,func_801D3488,131
src/menu/main/misc.c,func_801C6400,134
src/menu/main/misc.c,func_801C55A0,142
src/menu/main/misc.c,func_801E7C50,143
src/menu/main/misc.c,func_801C8324,144
src/menu/main/misc.c,func_801E56E8,146
src/menu/main/misc.c,func_801E68AC,146
src/menu/main/misc.c,func_801D3DB0,149
src/menu/main/misc.c,func_801E5178,151
src/menu/main/misc.c,func_801DB39C,152
src/menu/main/misc.c,func_801D7CFC,153
src/menu/main/misc.c,func_801E6F5C,156
src/menu/main/misc.c,func_801E8B4C,157
src/menu/main/misc.c,func_801E6668,158
src/menu/main/misc.c,func_801E6CFC,158
src/menu/main/misc.c,func_801CF37C,160
src/menu/main/misc.c,func_801CFF64,160
src/menu/main/misc.c,func_801E8474,160
src/menu/main/misc.c,func_801E8F60,162
src/menu/main/misc.c,func_801D261C,165
src/menu/main/misc.c,func_801C58EC,166
src/menu/main/misc.c,func_801CF8D8,169
src/menu/main/misc.c,func_801E61B0,173
src/menu/main/misc.c,func_801D36E0,175
src/menu/main/misc.c,func_801E3C2C,175
src/menu/main/misc.c,func_801DB0A8,179
src/menu/main/misc.c,func_801D5ED4,182
src/menu/main/misc.c,func_801E5B88,182
src/menu/main/misc.c,func_801D5794,183
src/menu/main/misc.c,func_801DF5D0,183
src/menu/main/misc.c,func_801C6AA0,184
src/menu/main/misc.c,func_801C5FE4,186
src/menu/main/misc.c,func_801DFB68,186
src/menu/main/misc.c,func_801E86C8,186
src/menu/main/misc.c,func_801DF890,190
src/menu/main/misc.c,func_801CAA38,191
src/menu/main/misc.c,func_801C531C,195
src/menu/main/misc.c,func_801CA1D4,195
src/menu/main/misc.c,func_801CE860,196
src/menu/main/misc.c,func_801CF5E4,196
src/menu/main/misc.c,func_801E4A28,196
src/menu/main/misc.c,func_801CD81C,200
src/menu/main/misc.c,func_801E3ECC,203
src/menu/main/misc.c,func_801E53CC,203
src/menu/main/misc.c,func_801C9EF4,208
src/menu/main/misc.c,func_801D7F50,211
src/menu/main/misc.c,func_801D3FF8,212
src/menu/main/misc.c,func_801D4688,213
src/menu/main/misc.c,func_801C6F70,214
src/menu/main/misc.c,func_801D433C,214
src/menu/main/misc.c,func_801D49D0,214
src/menu/main/misc.c,func_801D9808,216
src/menu/main/misc.c,func_801CBA4C,220
src/menu/main/misc.c,func_801DB5E4,220
src/menu/main/misc.c,func_801E4D10,220
src/menu/main/misc.c,func_801E5E4C,220
src/menu/main/misc.c,func_801D2F4C,226
src/menu/main/misc.c,func_801CAE08,230
src/menu/main/misc.c,func_801E1014,234
src/menu/main/misc.c,func_801E78C8,238
src/menu/main/misc.c,func_801E733C,239
src/menu/main/misc.c,func_801D7154,240
src/menu/main/misc.c,func_801D74EC,240
src/menu/main/misc.c,func_801D29A8,243
src/menu/main/misc.c,func_801D7884,248
src/menu/main/misc.c,func_801D1EE0,252
src/menu/main/misc.c,func_801E93A0,255
src/menu/main/misc.c,func_801DDF24,259
src/menu/main/misc.c,func_801DA5BC,262
src/menu/main/misc.c,func_801DBE54,269
src/menu/main/misc.c,func_801CFB48,272
src/menu/main/misc.c,func_801E36D4,275
src/menu/main/misc.c,func_801E31C0,284
src/menu/main/misc.c,func_801E8070,285
src/menu/main/misc.c,func_801D6CF4,290
src/menu/main/misc.c,func_801DB920,291
src/menu/main/misc.c,func_801CDC6C,297
src/menu/main/misc.c,func_801CD2AC,298
src/menu/main/misc.c,func_801E433C,306
src/menu/main/misc.c,func_801C65F4,321
src/menu/main/misc.c,func_801D6338,325
src/menu/main/misc.c,func_801DFF5C,328
src/menu/main/misc.c,func_801D680C,330
src/menu/main/misc.c,func_801E2BE4,339
src/menu/main/misc.c,func_801D9F98,347
src/menu/main/misc.c,func_801DF0D4,349
src/menu/main/misc.c,func_801E1544,365
src/menu/main/misc.c,func_801CB304,390
src/menu/main/misc.c,func_801E1AC8,395
src/menu/main/misc.c,func_801D02D8,422
src/menu/main/misc.c,func_801DA9A8,423
src/menu/main/misc.c,func_801CEC40,446
src/menu/main/misc.c,func_801E23CC,495
src/menu/main/misc.c,func_801DCE60,500
src/menu/main/misc.c,func_801D8644,506
src/menu/main/misc.c,func_801DD790,520
src/menu/main/misc.c,func_801C93A8,545
src/menu/main/misc.c,func_801D8EA4,566
src/menu/main/misc.c,func_801C72BC,600
src/menu/main/misc.c,func_801CBD90,641
src/menu/main/misc.c,func_801E05D0,680
src/menu/main/misc.c,func_801DC3D8,709
src/menu/main/misc.c,func_801DE5CC,749
src/menu/main/misc.c,func_801CC6D8,816
src/shop_menu/main/misc.c,func_801C5CBC,113
src/shop_menu/main/misc.c,func_801CCE1C,131
src/shop_menu/main/misc.c,func_801CE91C,146
src/shop_menu/main/misc.c,func_801C5A7C,153
src/shop_menu/main/misc.c,func_801CC720,157
src/shop_menu/main/misc.c,func_801CC278,195
src/shop_menu/main/misc.c,func_801CBCF0,211
src/shop_menu/main/misc.c,func_801CCFF4,274
src/shop_menu/main/misc.c,func_801CE480,300
src/shop_menu/main/misc.c,func_801D05BC,423
src/shop_menu/main/misc.c,func_801CFF58,428
src/shop_menu/main/misc.c,func_801CDD14,493
src/shop_menu/main/misc.c,func_801CEB3C,494
src/slus_006.64/graphics/line_scroll.c,func_8002804C,126
src/slus_006.64/main/main.c,func_80019578,256
src/slus_006.64/psyq/libapi.c,func_80040ABC,6
src/slus_006.64/psyq/libapi.c,func_80040B00,7
src/slus_006.64/psyq/libapi_2.c,func_8004BED0,4
src/slus_006.64/psyq/libapi_2.c,func_8004BED8,8
src/slus_006.64/psyq/libgpu.c,func_8004463C,81
src/slus_006.64/psyq/libgte.c,func_8004901C,37
src/slus_006.64/psyq/libgte.c,func_800490A4,37
src/slus_006.64/psyq/libgte.c,func_80048DD8,52
src/slus_006.64/psyq/libgte.c,func_80048E94,61
src/slus_006.64/psyq/libsn.c,func_8004C458,9
src/slus_006.64/system/animation_scripts.c,func_8001FBA4,20
src/slus_006.64/system/archive.c,func_80029EB0,248
src/slus_006.64/system/archive.c,func_80029AFC,261
src/slus_006.64/system/libarchive.c,func_80028B14,231
src/slus_006.64/system/libarchive.c,func_80028F30,352
src/slus_006.64/system/menu.c,func_8001C76C,94
src/slus_006.64/system/rendering.c,func_8001D4E8,24
src/slus_006.64/system/rendering.c,func_8001EE88,229
src/slus_006.64/system/rendering.c,func_8001F1D4,234
src/slus_006.64/system/rendering.c,func_8001E9BC,311
src/slus_006.64/system/sound.c,func_8003CD08,12
src/slus_006.64/system/sound.c,func_8003D0E8,12
src/slus_006.64/system/sound.c,func_8003D110,13
src/slus_006.64/system/sound.c,func_8003DB2C,13
src/slus_006.64/system/sound.c,func_8003CE68,15
src/slus_006.64/system/sound.c,func_8003D60C,15
src/slus_006.64/system/sound.c,func_8003D7C8,15
src/slus_006.64/system/sound.c,func_8003D13C,19
src/slus_006.64/system/sound.c,func_8003CEF0,20
src/slus_006.64/system/sound.c,func_8003D1BC,22
src/slus_006.64/system/sound.c,func_8003D4E4,24
src/slus_006.64/system/sound.c,func_8003D3D8,26
src/slus_006.64/system/sound.c,func_8003ABF0,28
src/slus_006.64/system/sound.c,func_8003D53C,28
src/slus_006.64/system/sound.c,func_8003D438,29
src/slus_006.64/system/sound.c,func_8003DBE4,31
src/slus_006.64/system/sound.c,func_8003E44C,31
src/slus_006.64/system/sound.c,func_8003A344,33
src/slus_006.64/system/sound.c,func_8003A55C,33
src/slus_006.64/system/sound.c,func_8003D21C,34
src/slus_006.64/system/sound.c,func_8003E180,34
src/slus_006.64/system/sound.c,func_8003E360,34
src/slus_006.64/system/sound.c,func_8003D070,35
src/slus_006.64/system/sound.c,func_8003E1F8,41
src/slus_006.64/system/sound.c,func_80039FF8,43
src/slus_006.64/system/sound.c,func_8003A094,50
src/slus_006.64/system/sound.c,func_8003E5BC,51
src/slus_006.64/system/sound.c,func_8003A14C,52
src/slus_006.64/system/sound.c,func_8003A20C,54
src/slus_006.64/system/sound.c,func_8003DC50,57
src/slus_006.64/system/sound.c,func_8003DF78,57
src/slus_006.64/system/sound.c,func_8003D8B8,65
src/slus_006.64/system/sound.c,func_8003DD24,65
src/slus_006.64/system/sound.c,func_8003E04C,65
src/slus_006.64/system/sound.c,func_8003D9A4,73
src/slus_006.64/system/sound.c,func_800386C4,100
src/slus_006.64/system/sound.c,func_8003EFE4,120
src/slus_006.64/system/sound.c,func_8003A65C,126
src/slus_006.64/system/sound.c,func_8003B424,147
src/slus_006.64/system/sound.c,func_8003C4C4,157
src/slus_006.64/system/sound.c,func_8003EBF0,189
src/slus_006.64/system/sound.c,func_8003B644,200
src/slus_006.64/system/sound.c,func_8003C020,306
src/slus_006.64/system/sound.c,func_8003C6E8,398
src/slus_006.64/system/temp1.c,func_80025224,15
src/slus_006.64/system/temp1.c,func_80025180,21
src/slus_006.64/system/temp1.c,func_80023468,23
src/slus_006.64/system/temp1.c,func_800233A4,41
src/slus_006.64/system/temp1.c,func_80022DF4,42
src/slus_006.64/system/temp1.c,func_80026338,47
src/slus_006.64/system/temp1.c,func_80026F44,48
src/slus_006.64/system/temp1.c,func_80026FE8,51
src/slus_006.64/system/temp1.c,func_8002541C,77
src/slus_006.64/system/temp1.c,func_80025C04,92
src/slus_006.64/system/temp1.c,func_80024730,118
src/slus_006.64/system/temp1.c,func_80025D4C,171
src/slus_006.64/system/temp1.c,func_800257F0,175
src/slus_006.64/system/temp1.c,func_80023FD8,178
src/slus_006.64/system/temp1.c,func_8002675C,184
src/slus_006.64/system/temp1.c,func_8002709C,213
src/slus_006.64/system/temp1.c,func_80025FA8,239
src/slus_006.64/system/temp1.c,func_800263E4,239
src/slus_006.64/system/temp1.c,func_80023B84,285
src/slus_006.64/system/temp1.c,func_800278F8,299
src/slus_006.64/system/temp1.c,func_800273C4,358
src/slus_006.64/system/temp2.c,func_8002C310,52
src/slus_006.64/system/temp2.c,func_8002DD20,54
src/slus_006.64/system/temp2.c,func_8002CDCC,98
src/slus_006.64/system/temp2.c,func_8002B8B0,112
src/slus_006.64/system/temp2.c,func_8002F2E0,124
src/slus_006.64/system/temp2.c,func_8002ED20,125
src/slus_006.64/system/temp2.c,func_8002C700,128
src/slus_006.64/system/temp2.c,func_8002EEF8,130
src/slus_006.64/system/temp2.c,func_8002F0E4,135
src/slus_006.64/system/temp2.c,func_8002F4B4,135
src/slus_006.64/system/temp2.c,func_8002E448,138
src/slus_006.64/system/temp2.c,func_8002E8B4,138
src/slus_006.64/system/temp2.c,func_8002FCFC,138
src/slus_006.64/system/temp2.c,func_8002FAE8,140
src/slus_006.64/system/temp2.c,func_8002DDE4,141
src/slus_006.64/system/temp2.c,func_8002F8D0,141
src/slus_006.64/system/temp2.c,func_8002F6B4,142
src/slus_006.64/system/temp2.c,func_80030750,150
src/slus_006.64/system/temp2.c,func_8002FF0C,153
src/slus_006.64/system/temp2.c,func_80030C98,154
src/slus_006.64/system/temp2.c,func_8002E64C,164
src/slus_006.64/system/temp2.c,func_8002EAB8,164
src/slus_006.64/system/temp2.c,func_8002B084,170
src/slus_006.64/system/temp2.c,func_8002B2F0,200
src/slus_006.64/system/temp2.c,func_8002B5D0,200
src/slus_006.64/system/temp2.c,func_8002BB50,274
src/slus_006.64/system/temp2.c,func_8002E010,282
src/slus_006.64/system/temp2.c,func_8002AC24,300
src/slus_006.64/system/temp2.c,func_8003101C,358
src/slus_006.64/system/temp3.c,func_8001BB50,25
src/slus_006.64/system/temp3.c,func_8001A6E8,266
src/slus_006.64/system/work_list.c,func_8001D034,33
src/slus_006.64/system/work_list.c,func_8001CE74,128
